movie_id,title,director,genres,actor_1,actor_2,actor_3,plot_keywords,language,country,imdb_score
0088763,Back to the Future,Robert Zemeckis,Adventure|Comedy|Sci-Fi,Lea Thompson,Thomas F. Wilson,J.J. Cohen,clock tower|delorean|future|time travel|time travel comedy,English,USA,8.5
0109830,Forrest Gump,Robert Zemeckis,Comedy|Drama,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson,amputee|love|vietnam|vietnam war|war hero,English,USA,8.8
0110357,The Lion King,Roger Allers,Adventure|Animation|Drama|Family|Musical,Matthew Broderick,Nathan Lane,Niketa Calame,king|prince|scar|uncle|unnecessary guilt,English,USA,8.5
0110475,The Mask,Chuck Russell,Action|Comedy|Crime|Fantasy,Peter Greene,Amy Yasbeck,Reg E. Cathey,bank|bank clerk|gangster|loki|mask,English,USA,6.9
0111161,The Shawshank Redemption,Frank Darabont,Crime|Drama,Morgan Freeman,Jeffrey DeMunn,Bob Gunton,escape from prison|first person narration|prison|prison cell search|wrongful imprisonment,English,USA,9.3
0114148,Pocahontas,Mike Gabriel,Adventure|Animation|Drama|Family|History|Musical|Romance,Christian Bale,Frank Welker,Irene Bedard,actor playing multiple roles|love|one word title|unsubtitled foreign language|virginia,English,USA,6.6
0114369,Se7en,David Fincher,Crime|Drama|Mystery|Thriller,Morgan Freeman,Brad Pitt,Reg E. Cathey,detective|police partner|serial killer|serial murder|seven deadly sins,English,USA,8.6
0120338,Titanic,James Cameron,Drama|Romance,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,artist|love|ship|titanic|wet,English,USA,7.7
0120912,Men in Black II,Barry Sonnenfeld,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,Will Smith,Rosario Dawson,Rip Torn,alien|lingerie|lingerie model|m.i.b.|pug,English,USA,6.1
0125439,Notting Hill,Roger Michell,Comedy|Drama|Romance,Julia Roberts,Clarke Peters,Dylan Moran,actress|bookstore|friend|kiss|love,English,UK,7.0
0133093,The Matrix,Lana Wachowski,Action|Sci-Fi,Keanu Reeves,Marcus Chong,Gloria Foster,artificial reality|computer|matrix|questioning reality|simulated reality,English,USA,8.7
0138097,Shakespeare in Love,John Madden,Comedy|Drama|Romance,Tom Wilkinson,Martin Clunes,Simon Callow,actor|audition|muse|playwright|theater,English,USA,7.2
0147800,10 Things I Hate About You,Gil Junger,Comedy|Drama|Romance,Joseph Gordon-Levitt,Heath Ledger,Andrew Keegan,dating|protective father|school|shrew|teen movie,English,USA,7.2
